other_subtype,lexical_bucket,count,share_within_subtype
complexity,creative_and_factual_like,1,0.07692307692307693
complexity,unclear,12,0.9230769230769231
complexity+real_world,factual_like,1,0.07142857142857142
complexity+real_world,unclear,13,0.9285714285714286
complexity+specificity,factual_like,1,0.022222222222222223
complexity+specificity,unclear,44,0.9777777777777777
complexity+specificity+real_world,factual_like,1,0.16666666666666666
complexity+specificity+real_world,unclear,5,0.8333333333333334
none,creative_and_factual_like,17,0.002471648735097412
none,creative_like,35,0.005088688572259378
none,factual_like,661,0.09610351846466997
none,unclear,6165,0.8963361442279733
real_world,factual_like,3,0.23076923076923078
real_world,unclear,10,0.7692307692307693
specificity,creative_like,2,0.028985507246376812
specificity,factual_like,10,0.14492753623188406
specificity,unclear,57,0.8260869565217391
specificity+real_world,factual_like,3,1.0
