split,comparison,model_a,model_b,metric,mean,std,ci_lower,ci_upper
test,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.010840801190178767,0.002999619993168574,0.005009610354390156,0.01683549103514105
test,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.0035310758598285858,0.0026882928458086108,-0.0015193422462056628,0.008603631429516735
test,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0049664175550566915,0.0005382085995000926,-0.006040759815470197,-0.0038952257726114375
test,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,0.0008557929804962638,0.0004374279963328002,-3.222652491832595e-05,0.0017545549747081187
test,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.01084345661032749,0.0012758069436700481,-0.013311295045466371,-0.008314197430378546
test,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.00314152337759614,0.0010917401656129894,0.0010548668459257893,0.005347884842883093
validation,full_formatting_minus_baseline,full_formatting,baseline,accuracy,0.009746794307097354,0.0031141255715280277,0.003868363774832409,0.015841301608707656
validation,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,accuracy,0.00477155703956677,0.0028343470451487216,-0.0008195984951609696,0.010058113707009876
validation,full_formatting_minus_baseline,full_formatting,baseline,brier_score,-0.0037224690510488366,0.0005669814946721734,-0.004796545478829698,-0.0026131324035422263
validation,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,brier_score,5.467356538160815e-05,0.0004602526506660418,-0.0008348428650281813,0.0009267315895508874
validation,full_formatting_minus_baseline,full_formatting,baseline,log_loss,-0.007443794656727493,0.0014698853182224215,-0.010152555088939108,-0.004471508262014689
validation,signal_interactions_minus_full_formatting,signal_interactions,full_formatting,log_loss,0.00026555531572892857,0.0011676813038556215,-0.0019245372843440522,0.002512515157825256
