model,score
gemini-2.5-pro-preview-03-25,0.8042616840734383
gemini-2.5-pro,0.790422265581235
o3-2025-04-16,0.7370328961044765
grok-4-0709,0.7308958527524709
chatgpt-4o-latest-20250326,0.6005015392381909
gemini-2.5-pro-preview-05-06,0.5027764329305919
deepseek-r1-0528,0.43750110605257
grok-3-preview-02-24,0.36565976343756734
gemini-2.5-flash,0.342106475644136
kimi-k2-0711-preview,0.30490334757725934
o4-mini-2025-04-16,0.300748741177604
qwen3-235b-a22b-no-thinking,0.2525638957770091
gpt-4.1-2025-04-14,0.2485925701610592
gemini-2.5-flash-preview-04-17,0.2422539486664407
hunyuan-turbos-20250416,0.21185298126086174
claude-opus-4-20250514,0.19689126227034418
llama-4-maverick-03-26-experimental,0.1877704545932167
deepseek-v3-0324,0.18576951529531488
claude-opus-4-20250514-thinking-16k,0.1734770866811794
qwen3-235b-a22b,0.11088534330572714
mistral-medium-2505,0.10890155780329433
gemini-2.5-flash-lite-preview-06-17-thinking,0.09847035198325924
qwen-max-2025-01-25,0.09450787441584008
claude-sonnet-4-20250514-thinking-32k,0.061103620865311126
gemma-3-27b-it,0.036987107711329015
minimax-m1,0.033573668328326214
grok-3-mini-beta,0.008011090857653808
grok-3-mini-high,-0.01847443006930187
claude-sonnet-4-20250514,-0.01999823968811181
gemini-2.0-flash-thinking-exp-01-21,-0.020375488197059755
gpt-4.1-mini-2025-04-14,-0.04435967986097378
qwq-32b,-0.06274637559393717
gpt-4o-2024-11-20,-0.08986778245058452
qwen3-235b-a22b-instruct-2507,-0.10924231241858381
gemini-2.0-flash-001,-0.14529007174430042
mistral-small-2506,-0.2205171267919041
command-a-03-2025,-0.23017780566070212
claude-3-5-sonnet-20241022,-0.2760242765938685
claude-3-7-sonnet-20250219-thinking-32k,-0.28445770494908507
o3-mini,-0.28563401135123234
claude-3-7-sonnet-20250219,-0.32212114709152906
qwen3-30b-a3b,-0.35251806956555165
llama-4-maverick-17b-128e-instruct,-0.36513364025980544
gemma-3n-e4b-it,-0.38001461036117157
llama-4-scout-17b-16e-instruct,-0.41972552065258606
amazon-nova-experimental-chat-05-14,-0.4243934555488923
llama-3.3-70b-instruct,-0.5872202846955611
claude-3-5-haiku-20241022,-0.6329871038181689
amazon.nova-pro-v1:0,-0.6507804679322458
magistral-medium-2506,-0.6679914600403579
mistral-small-3.1-24b-instruct-2503,-0.7082466221226046
gpt-4o-mini-2024-07-18,-0.8501247470875866
